,Operador_Padronizado,Classificacao_da_Ocorrencia,Data_da_Ocorrencia,Municipio,UF,Regiao,Descricao_do_Tipo,Historico,Matricula,Categoria_da_Aeronave,Operador,Tipo_de_Ocorrencia,Fase_da_Operacao,Operacao,Danos_a_Aeronave,Lesoes_Fatais_Tripulantes,Lesoes_Fatais_Passageiros,Lesoes_Fatais_Terceiros,Lesoes_Graves_Tripulantes,Lesoes_Graves_Passageiros,Lesoes_Graves_Terceiros,Lesoes_Leves_Tripulantes,Lesoes_Leves_Passageiros,Lesoes_Leves_Terceiros,Ilesos_Tripulantes,Ilesos_Passageiros,Lesoes_Desconhecidas_Tripulantes,Lesoes_Desconhecidas_Passageiros,Lesoes_Desconhecidas_Terceiros,Modelo,Numero_de_Assentos,Nome_do_Fabricante,Coordenadas
10915,LIDER TAXI AEREO�S A AIR BRASIL,Incidente,23/01/2022,RIO DE JANEIRO,RJ,Sudeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,"A aeronave decolou do Aeroporto de Guarulhos (SBGR), Guarulhos, SP, com destino ao Aeroporto de Jacarepaguá (SBJR), Rio de Janeiro - RJ, para realizar um voo de translado com 2 tripulantes e 4 passageiros. Durante o pouso ocorreu o estouro dos pneus do trem principal.",PRSPJ,TPX,LIDER TAXI AEREO S.A - AIR BRASIL,SCF-NP,Corrida após pouso,Táxi Aéreo,Leve,,,,,,,,,,2.0,4.0,,,,EMB-500,6.0,EMBRAER,"-22,9875 -43,37"
10917,SERRANA AVIACAO AGRICOLA LTDA - EPP ,Incidente Grave,21/01/2022,LUÍS EDUARDO MAGALHÃES,BA,Nordeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,"A aeronave decolou do Aeródromo de Rosada (SSGO), São Gabriel do Oeste, MS, às 16h45min (UTC), com destino ao Aeródromo J Lem (SNJL), Luis Eduardo Magalhães, BA, a fim de realizar voo de translado, com apenas o piloto a bordo. Na reta final para pouso em SNJL, após o comandamento do trem de pouso embaixo, o piloto observou que não havia indicação de travamento do trem de pouso auxiliar. Após o toque, o trem de pouso auxiliar recolheu e a aeronave parou na pista.",PPBLZ,TPP,SERRANA AVIACAO AGRICOLA LTDA - EPP ,SCF-NP,Corrida após pouso,Voo Privado,Leve,,,,,,,,,,1.0,,,,,PA-32R-301T,6.0,PIPER AIRCRAFT,"-12,125 -45,7711"
10919,A P N SERVICOS LTDA,Incidente,14/01/2022,JOINVILLE,SC,Sul,CORTANTE DE VENTO / TEMPESTADE,"A aeronave decolou do Aeródromo Ten Cel Av César Bombonato (SBUL), Uberlância, MG, com destino ao Aeródromo Costa Esmeralda (SDEN), Porto Belo, SC, aproximadamente às 20h00min (UTC), a fim de realizar voo privado, com dois tripulantes e quatro passageiros a bordo.Por volta das 21h00min (UTC), durante o procedimento de descida para o destino e ao realizar desvios de formações meteorológicas, a aeronave foi atingida por descargas elétricas. O pouso foi realizado sem intercorrências.",PSSPC,TPP,A P N SERVICOS LTDA,WSTRW,Descida,Voo Privado,Leve,,,,,,,,,,2.0,4.0,,,,400A,10.0,RAYTHEON AIRCRAFT,"-26,2231 -48,7978"
10920,A P N SERVICOS LTDA,Incidente,14/01/2022,JOINVILLE,SC,Sul,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,"A aeronave decolou do Aeródromo Ten Cel Av César Bombonato (SBUL), Uberlância, MG, com destino ao Aeródromo Costa Esmeralda (SDEN), Porto Belo, SC, aproximadamente às 20h00min (UTC), a fim de realizar voo privado, com dois tripulantes e quatro passageiros a bordo.Por volta das 21h00min (UTC), durante o procedimento de descida para o destino e ao realizar desvios de formações meteorológicas, a aeronave foi atingida por descargas elétricas. O pouso foi realizado sem intercorrências.",PSSPC,TPP,A P N SERVICOS LTDA,SCF-NP,Descida,Voo Privado,Leve,,,,,,,,,,2.0,4.0,,,,400A,10.0,RAYTHEON AIRCRAFT,"-26,2231 -48,7978"
10921,AGRIFOR AVIACAO AGRIC.FORMEHL LTDA,Acidente,16/03/2022,FELIZ NATAL,MT,Centro-Oeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,"A aeronave decolou de uma área de pouso para uso aeroagrícola, localizada na Fazenda Vitória, no município de Feliz Natal, MT, por volta das 21h00min (UTC), a fim de realizar voo de aplicação de defensivo, com um piloto a bordo. Durante a curva de recuperação, houve perda de potência e posteriormente pouso forçado.",PTUTF,S05,AGRIFOR AVIACAO AGRIC.FORMEHL LTDA,SCF-PP,Manobra,Operação Agrícola,Substancial,,,,,,,1.0,,,,,,,,EMB-202A,1.0,NEIVA,"-12,4825 -55,0319"
10922,MARCIO CROSO SOARES,Acidente,19/03/2022,SÃO ROMÃO,MG,Sudeste,INCURSÃO EM PISTA,"A aeronave decolava do aeródromo da Fazenda Saco de Tapera (SSOT), São Romão, MG, com destino ao aeródromo de Carlos Prates (SBPR), Belo Horizonte, MG, a fim de realizar um voo privado, com um tripulante e três passageiros a bordo. Durante a corrida de decolagem, a aeronave colidiu contra uma pessoa localizada dentro dos limites pista.",PRLFF,TPP,MARCIO CROSO SOARES,RI,Decolagem,Voo Privado,Leve,,,1.0,,,,,,,1.0,3.0,,,,SR22,4.0,CIRRUS DESIGN,"-16,3469 -45,3492"
10923,MARCIO CROSO SOARES,Acidente,19/03/2022,SÃO ROMÃO,MG,Sudeste,INCURSÃO EM PISTA,"A aeronave decolava do aeródromo da Fazenda Saco de Tapera (SSOT), São Romão, MG, com destino ao aeródromo de Carlos Prates (SBPR), Belo Horizonte, MG, a fim de realizar um voo privado, com um tripulante e três passageiros a bordo. Durante a corrida de decolagem, a aeronave colidiu contra uma pessoa localizada dentro dos limites pista.",PRLFF,TPP,MARCIO CROSO SOARES,RI,Decolagem,Voo Privado,Leve,,,1.0,,,,,,,1.0,3.0,,,,SR22,4.0,CIRRUS DESIGN,"-16,3469 -45,3492"
10924,TAM LINHAS AÉREAS S.A.,Incidente,18/07/2022,SÃO PAULO,SP,Sudeste,"GERENCIAMENTO DE TRÁFEGO AÉREO (ATM) / SERVIÇO DE COMUNICAÇÃO NAVEGAÇÃO, OU VIGILÂNCIA (CNS)","A aeronave PR-GGE (GLO 1209) decolou do aeródromo Salgado Filho (SBPA), Porto Alegre, RS, com destino ao aeródromo de Congonhas (SBSP), São Paulo, SP, a fim de realizar transporte aéreo público regular. Durante a aproximação final para a pista 17R de SBSP, a aeronave iniciou o procedimento de aproximação perdida próximo da altitude de decisão (DA), devido à presença de uma aeronave da LATAM (LA 3610) na pista, que ainda se encontrava na corrida de decolagem. Após a arremetida, a aeronave PR-GGE foi instruída pelo controle e realizou uma nova aproximação e pouso, sem maiores intercorrências.",PRMBW,TPR,TAM LINHAS AÉREAS S.A.,ATM/CNS,Decolagem,Voo Regular,Nenhum,,,,,,,,,,5.0,134.0,,,,A319-132,154.0,AIRBUS S.A.S.,"-23,6261 -46,6564"
10925,AZUL,Incidente,08/11/2022,RECIFE,PE,Nordeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,"A Aeronave decolou do Aeródromo Gilberto Freyre ( SBRF), Recife, PE com destino ao Aeródromo Presidente João Suassuna ( SBKG), Campina Grande, PB, com 4 tripulantes e 36 passageiros a bordo com a finalidade de realizar transporte aéreo público regular. Durante a subida, a aeronave apresentou mensagem de pane elétrica. Após procedimentos previstos em manual, a aeronave retornou para o Aeródromo de origem e pousou sem intercorrências.",PRAQW,TPR,AZUL LINHAS AEREAS BRASILEIRAS S.A,SCF-NP,Subida,Voo Regular,Nenhum,,,,,,,,,,4.0,36.0,,,,ATR-72-212A,75.0,ATR - GIE AVIONS DE TRANSPORT RÉGIONAL,"-8,0735 -34,5522"
10927,TAM LINHAS AÉREAS S.A.,Incidente,18/07/2022,SÃO PAULO,SP,Sudeste,INCURSÃO EM PISTA,"A aeronave PR-GGE (GLO 1209) decolou do aeródromo Salgado Filho (SBPA), Porto Alegre, RS, com destino ao aeródromo de Congonhas (SBSP), São Paulo, SP, a fim de realizar transporte aéreo público regular. Durante a aproximação final para a pista 17R de SBSP, a aeronave iniciou o procedimento de aproximação perdida próximo da altitude de decisão (DA), devido à presença de uma aeronave da LATAM (LA 3610) na pista, que ainda se encontrava na corrida de decolagem. Após a arremetida, a aeronave PR-GGE foi instruída pelo controle e realizou uma nova aproximação e pouso, sem maiores intercorrências.",PRMBW,TPR,TAM LINHAS AÉREAS S.A.,RI,Decolagem,Voo Regular,Nenhum,,,,,,,,,,5.0,134.0,,,,A319-132,154.0,AIRBUS S.A.S.,"-23,6261 -46,6564"
10928,GOL,Incidente,18/07/2022,SÃO PAULO,SP,Sudeste,"GERENCIAMENTO DE TRÁFEGO AÉREO (ATM) / SERVIÇO DE COMUNICAÇÃO NAVEGAÇÃO, OU VIGILÂNCIA (CNS)","A aeronave PR-GGE (GLO 1209) decolou do aeródromo Salgado Filho (SBPA), Porto Alegre, RS, com destino ao aeródromo de Congonhas (SBSP), São Paulo, SP, a fim de realizar transporte aéreo público regular. Durante a aproximação final para a pista 17R de SBSP, a aeronave iniciou o procedimento de aproximação perdida próximo da altitude de decisão (DA), devido à presença de uma aeronave da LATAM (LA 3610) na pista, que ainda se encontrava na corrida de decolagem. Após a arremetida, a aeronave PR-GGE foi instruída pelo controle e realizou uma nova aproximação e pouso, sem maiores intercorrências.",PRGGE,TPR,GOL LINHAS AEREAS S.A,ATM/CNS,Aproximação,Voo Regular,Nenhum,,,,,,,,,,6.0,188.0,,,,737-8EH,196.0,BOEING COMPANY,"-23,6261 -46,6564"
10929,GOL,Incidente,18/07/2022,SÃO PAULO,SP,Sudeste,INCURSÃO EM PISTA,"A aeronave PR-GGE (GLO 1209) decolou do aeródromo Salgado Filho (SBPA), Porto Alegre, RS, com destino ao aeródromo de Congonhas (SBSP), São Paulo, SP, a fim de realizar transporte aéreo público regular. Durante a aproximação final para a pista 17R de SBSP, a aeronave iniciou o procedimento de aproximação perdida próximo da altitude de decisão (DA), devido à presença de uma aeronave da LATAM (LA 3610) na pista, que ainda se encontrava na corrida de decolagem. Após a arremetida, a aeronave PR-GGE foi instruída pelo controle e realizou uma nova aproximação e pouso, sem maiores intercorrências.",PRGGE,TPR,GOL LINHAS AEREAS S.A,RI,Aproximação,Voo Regular,Nenhum,,,,,,,,,,6.0,188.0,,,,737-8EH,196.0,BOEING COMPANY,"-23,6261 -46,6564"
10930,SERRANA AVIAÇÃO AGRÍCOLA LTDA,Acidente,16/10/2022,PONTA PORÃ,MS,Centro-Oeste,COMBUSTÍVEL,"Aeronave decolou da área de pouso para uso aeroagrícola (APUA) Flamboyant, Ponta Porã, MS, com um tripulante a bordo, para aplicação de defensivo agrícola. Durante a pulverização, ocorreu falha de funcionamento do motor, realizando-se pouso de emergência em área de cultivo. Após o pouso, a aeronave capotou (pilonou).",PTUOL,S05,SERRANA AVIAÇÃO AGRÍCOLA LTDA,FUEL,Manobra,Operação Especializada,Substancial,,,,,,,1.0,,,,,,,,EMB-202,1.0,NEIVA,"-22,2223 -55,0822"
10931,AZUL,Incidente,25/07/2022,JOINVILLE,SC,Sul,INCURSÃO EM PISTA,"A aeronave decolou do aeródromo de Viracopos (SBKP), Campinas, SP, com destino ao aeródromo Lauro Carneiro de Loyola (SBJV), Joinville, SC, por volta das 17h09min, com quatro tripulantes e setenta passageiros a bordo, a fim de realizar transporte aéreo público regular. Durante a desaceleração após o pouso na pista 15 de SBJV, foi identificado pelos pilotos um carro de manutenção do aeródromo parado na lateral da pista, com a roda dentro da faixa de pista. Não houve necessidade de efetuar manobra para evitar a colisão e o pouso foi finalizado com segurança e sem maiores intercorrências.",PRAQA,TPR,AZUL LINHAS AEREAS BRASILEIRAS S.A,RI,Corrida após pouso,Voo Regular,Nenhum,,,,,,,,,,4.0,70.0,,,,ATR-72-212A,75.0,ATR - GIE AVIONS DE TRANSPORT RÉGIONAL,"-26,2231 -48,7978"
10932,SKY ESCOLA DE AERONÁUTICA LTDA,Incidente Grave,03/08/2022,GOIÂNIA,GO,Centro-Oeste,INCURSÃO EM PISTA,"A aeronave PR-SKV decolou do aeródromo Santa Genoveva (SBGO), Goiânia, GO, com a intenção de realizar um voo local.O pouso ocorreu na cabeceira 14 e, enquanto efetuava manobras na pista na intenção de ingressar na Taxiway C (TWY), outra aeronave, o PP-POD havia recebido autorização para pouso. Ao perceber que o PR-SKV ainda estava sobre a pista principal, o controlador de voo da Torre (TWR) comandou a arremetida do PP-POD, o que foi atendido somente após a repetição da mensagem. Após a arremetida, o PP-POD efetuou um tráfego visual e pousou normalmente na pista 14.",PRSKV,PRI,SKY ESCOLA DE AERONÁUTICA LTDA,RI,Corrida após pouso,Voo Privado,Nenhum,,,,,,,,,,1.0,,,,,152,2.0,CESSNA AIRCRAFT,"-16,3753 -49,1318"
10933,SKY ESCOLA DE AERONÁUTICA LTDA,Incidente Grave,03/08/2022,GOIÂNIA,GO,Centro-Oeste,"GERENCIAMENTO DE TRÁFEGO AÉREO (ATM) / SERVIÇO DE COMUNICAÇÃO NAVEGAÇÃO, OU VIGILÂNCIA (CNS)","A aeronave PR-SKV decolou do aeródromo Santa Genoveva (SBGO), Goiânia, GO, com a intenção de realizar um voo local.O pouso ocorreu na cabeceira 14 e, enquanto efetuava manobras na pista na intenção de ingressar na Taxiway C (TWY), outra aeronave, o PP-POD havia recebido autorização para pouso. Ao perceber que o PR-SKV ainda estava sobre a pista principal, o controlador de voo da Torre (TWR) comandou a arremetida do PP-POD, o que foi atendido somente após a repetição da mensagem. Após a arremetida, o PP-POD efetuou um tráfego visual e pousou normalmente na pista 14.",PRSKV,PRI,SKY ESCOLA DE AERONÁUTICA LTDA,ATM/CNS,Corrida após pouso,Voo Privado,Nenhum,,,,,,,,,,1.0,,,,,152,2.0,CESSNA AIRCRAFT,"-16,3753 -49,1318"
10935,BONINI AGRONEGOCIO LTDA,Incidente Grave,03/08/2022,GOIÂNIA,GO,Centro-Oeste,INCURSÃO EM PISTA,"A aeronave PR-SKV decolou do aeródromo Santa Genoveva (SBGO), Goiânia, GO, com a intenção de realizar um voo local.O pouso ocorreu na cabeceira 14 e, enquanto efetuava manobras na pista na intenção de ingressar na Taxiway C (TWY), outra aeronave, o PP-POD havia recebido autorização para pouso. Ao perceber que o PR-SKV ainda estava sobre a pista principal, o controlador de voo da Torre (TWR) comandou a arremetida do PP-POD, o que foi atendido somente após a repetição da mensagem. Após a arremetida, o PP-POD efetuou um tráfego visual e pousou normalmente na pista 14.",PPPOD,TPP,BONINI AGRONEGOCIO LTDA,RI,Aproximação,Voo Privado,Nenhum,,,,,,,,,,1.0,,,,,C90GTI,8.0,HAWKER BEECHCRAFT,"-16,3753 -49,1318"
10936,BONINI AGRONEGOCIO LTDA,Incidente Grave,03/08/2022,GOIÂNIA,GO,Centro-Oeste,"GERENCIAMENTO DE TRÁFEGO AÉREO (ATM) / SERVIÇO DE COMUNICAÇÃO NAVEGAÇÃO, OU VIGILÂNCIA (CNS)","A aeronave PR-SKV decolou do aeródromo Santa Genoveva (SBGO), Goiânia, GO, com a intenção de realizar um voo local.O pouso ocorreu na cabeceira 14 e, enquanto efetuava manobras na pista na intenção de ingressar na Taxiway C (TWY), outra aeronave, o PP-POD havia recebido autorização para pouso. Ao perceber que o PR-SKV ainda estava sobre a pista principal, o controlador de voo da Torre (TWR) comandou a arremetida do PP-POD, o que foi atendido somente após a repetição da mensagem. Após a arremetida, o PP-POD efetuou um tráfego visual e pousou normalmente na pista 14.",PPPOD,TPP,BONINI AGRONEGOCIO LTDA,ATM/CNS,Aproximação,Voo Privado,Nenhum,,,,,,,,,,1.0,,,,,C90GTI,8.0,HAWKER BEECHCRAFT,"-16,3753 -49,1318"
10937,TAXI AEREO HERCULES LTDA - EPP,Incidente,31/10/2022,ALTA FLORESTA,MT,Centro-Oeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,"A aeronave decolou por volta das 11h30min (UTC) do Aeródromo de Blumenau (SSBL), Blumenau, SC, com destino ao Aeródromo Pousada Thaimaçu (SNFJ), Jacareacanga, PA, para um voo de transporte aéreo não regular, com dois tripulantes e sete passageiros a bordo. Durante a descida, a tripulação notou estampidos provenientes do motor direito, bem como variação nos parâmetros de potência. A tripulação decidiu alternar o voo para o Aeródromo Piloto Osvaldo Marques Dias (SBAT), Alta Floresta, MT, onde realizou o pouso às 16h10min (UTC) sem maiores intercorrências.",PSTXH,TPX,TAXI AEREO HERCULES LTDA,SCF-PP,Descida,Táxi Aéreo,Nenhum,,,,,,,,,,2.0,7.0,,,,B200,10.0,BEECH AIRCRAFT,"-9,5159 -56,0618"
10953,SERVIÇOS AÉREOS INDUSTRIAIS ESPECIALIZADOS SAI LTDA,Acidente,11/11/2022,JUAZEIRO DO NORTE,CE,Nordeste,CONTATO ANORMAL COM A PISTA,"A aeronave decolou do Aeródromo Orlando Bezerra de Menezes (SBJU), Juazeiro do Norte, CE, às 11h25min (UTC), para um voo local de aerolevantamento, com um piloto e um passageiro a bordo. No regresso para SBJU, o piloto realizou o pouso sem comandar o trem embaixo, tendo a aeronave parado nos limites da pista, após percorrer aproximadamente 180m.",PTLDC,S07,SERVIÇOS AÉREOS INDUSTRIAIS ESPECIALIZADOS SAI LTDA,ARC,Pouso,Operação Policial,Substancial,,,,,,,,,,1.0,1.0,,,,EMB-820C NAVAJO,4.0,EMBRAER,"-7,1309 -39,161"
10954,MICHEL BOTTAN,Incidente Grave,17/11/2022,FORQUILHINHA,SC,Sul,AERÓDROMO,"A aeronave decolou do aeródromo Tobias Bacci (SSXD), no município de Sarandi, RS, com destino ao aeródromo Vacaria Novo (SNEE), no município de Vacaria, RS, por volta de 15h15min (UTC), a fim de realizar voo privado, com dois pilotos e um passageiro a bordo. A aeronave alternou em voo para o aeródromo Forquilhinha - Criciúma (SSIM), no município de Forquilhinha, SC, a fim de realizar abastecimento. O piloto executou o pouso com o aeródromo fechado, cerca de 16h23min, e decolou novamente, por volta de 17h39min.",PTMAD,TPP,MICHEL BOTTAN,ADRM,Pouso,Voo Privado,Nenhum,,,,,,,,,,2.0,1.0,,,,EMB-121A,8.0,EMBRAER,"-28,4328 -49,2516"
10955,FRANCO LUIZ DIAS DE OLIVEIRA,Acidente,29/11/2022,GAÚCHA DO NORTE ,MT,Centro-Oeste,FALHA OU MAU FUNCIONAMENTO DO MOTOR,"A aeronave decolou da área de pouso para uso aeroagrícola (APUA) da Fazenda São Paulo (ZZZZ), município de Gaúcha do Norte, MT, com um piloto a bordo, a fim de realizar voo de aplicação de defensivo agrícola. Durante o voo, ocorreu a falha do motor. Foi realizado um pouso forçado.",PTWMK,T11,FRANCO LUIZ DIAS DE OLIVEIRA,SCF-PP,Manobra,Operação Agrícola,Substancial,,,,,,,,,,1.0,,,,,A188B,1.0,CESSNA AIRCRAFT,"-12,5953 -53,1607"
10956,CLASSIC ESCOLA DE AVIAÇÃO CIVIL LTDA,Acidente,07/12/2022,BRAGANÇA PAULISTA,SP,Sudeste,PERDA DE CONTROLE NO SOLO,"A aeronave decolou do aeródromo Fazenda Vale Eldorado - Dr José de Aguiar Leme (SDVH), Bragança Paulista, SP, a fim de efetuar voo local de instrução de toque e arremetida, com um instrutor e um aluno a bordo. Durante a realização de um dos procedimentos de toque e arremetida, ocorreu a perda de controle da aeronave no solo e consequente saída pela lateral direita da pista.",PTARC,PRI,CLASSIC ESCOLA DE AVIAÇÃO CIVIL LTDA,LOC-G,Arremetida,Voo de Instrução,Substancial,,,,,,,,,,2.0,,,,,PA-18,2.0,PIPER AIRCRAFT,"-23,0019 -46,3813"
10957,CLASSIC ESCOLA DE AVIAÇÃO CIVIL LTDA,Acidente,07/12/2022,BRAGANÇA PAULISTA,SP,Sudeste,EXCURSÃO DE PISTA,"A aeronave decolou do aeródromo Fazenda Vale Eldorado - Dr José de Aguiar Leme (SDVH), Bragança Paulista, SP, a fim de efetuar voo local de instrução de toque e arremetida, com um instrutor e um aluno a bordo. Durante a realização de um dos procedimentos de toque e arremetida, ocorreu a perda de controle da aeronave no solo e consequente saída pela lateral direita da pista.",PTARC,PRI,CLASSIC ESCOLA DE AVIAÇÃO CIVIL LTDA,RE,Arremetida,Voo de Instrução,Substancial,,,,,,,,,,2.0,,,,,PA-18,2.0,PIPER AIRCRAFT,"-23,0019 -46,3813"
10958,VALMOR DA CUNHA,Acidente,22/12/2022,"Fazenda Floresta, Brasnorte",MT,Centro-Oeste,IMC NÃO INTENCIONAL,"A aeronave decolou da área de pouso para uso aeroagrícola (APUA) da Fazenda Floresta, no município de Brasnorte, MT, por volta das 10h15min (UTC), com destino à Fazenda Pitanga (ZZZZ), no município de Tangará da Serra, MT, a fim de realizar voo de translado, com um tripulante a bordo. Durante a subida, sob condições meteorológicas adversas, ocorreu a perda do controle da aeronave, vindo a mesma a colidir contra o solo.",PPIRC,TPP,VALMOR DA CUNHA,UIMC,Subida,Voo Privado,Destruída,1.0,,,,,,,,,,,,,,AT-502A,1.0,AIR TRACTOR,"-13,01 -58,0333"
10959,VALMOR DA CUNHA,Acidente,22/12/2022,"Fazenda Floresta, Brasnorte",MT,Centro-Oeste,PERDA DE CONTROLE EM VOO,"A aeronave decolou da área de pouso para uso aeroagrícola (APUA) da Fazenda Floresta, no município de Brasnorte, MT, por volta das 10h15min (UTC), com destino à Fazenda Pitanga (ZZZZ), no município de Tangará da Serra, MT, a fim de realizar voo de translado, com um tripulante a bordo. Durante a subida, sob condições meteorológicas adversas, ocorreu a perda do controle da aeronave, vindo a mesma a colidir contra o solo.",PPIRC,TPP,VALMOR DA CUNHA,LOC-I,Subida,Voo Privado,Destruída,1.0,,,,,,,,,,,,,,AT-502A,1.0,AIR TRACTOR,"-13,01 -58,0333"
10962,PAULO LUIZ DOS SANTOS,Incidente,24/03/2022,SÃO PAULO,SP,Sudeste,OUTROS,"A aeronave decolou do Aeródromo Campo de Marte (SBMT), São Paulo, SP, com destino ao Aeródromo Mário Pereira Lopes (SDSC), São Carlos, SP, por volta das 10h20min (UTC), a fim de realizar um voo de transporte de pessoal, com um piloto e dois passageiros a bordo. Após a decolagem, os operadores da Torre Marte (TWR-MT) visualizaram uma fumaça branca saindo do motor esquerdo da aeronave e informaram ao piloto. O tripulante optou por retornar ao aeródromo e realizou o pouso sem anormalidades.",PTRCX,TPP,PAULO LUIZ DOS SANTOS,OTHR,Decolagem,Voo Privado,Nenhum,,,,,,,,,,1.0,2.0,,,,EMB-810C,7.0,EMBRAER,"-23,5067 -46,6339"
10963,STS ESCOLA DE AVIAÇÃO CIVIL LTDA,Incidente Grave,09/03/2022,RIO DE JANEIRO,RJ,Sudeste,CONTATO ANORMAL COM A PISTA,"A aeronave decolou do aeródromo de Jacarepaguá-Roberto Marinho (SBJR), Rio de Janeiro, RJ, para realização de um voo de instrução local, com um tripulante a bordo. Durante o pouso a aeronave recolheu o trem de pouso dianteiro, parando dentro dos limites da pista.",PRDTK,PRI,STS ESCOLA DE AVIAÇÃO CIVIL LTDA,ARC,Pouso,Voo de Instrução,Leve,,,,,,,,,,1.0,,,,,150M,2.0,CESSNA AIRCRAFT,"-22,9878 -43,3708"
10964,AZUL LINHAS AÉREAS BRASILEIRAS S.A.,Incidente,10/03/2022,PETROLINA,PE,Nordeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,"A aeronave decolou do Aeroporto de Viracopos (SBKP), Campinas, SP, com destino ao Aeroporto Senador Petronio Portella (SBTE), Teresina, PI , com 02 (dois) tripulantes à bordo, a fim de realizar transporte de carga. Durante a fase de cruzeiro, a tripulação observou a mensagem de fogo no compartimento principal. Após execução de procedimentos previstos, a tripulação alternou o voo para o Aeroporto Senador Nilo Coelho (SBPL), Petrolina, PE.",PRAYJ,TPR,AZUL LINHAS AÉREAS BRASILEIRAS S.A.,SCF-NP,Cruzeiro,Voo Regular,Nenhum,,,,,,,,,,2.0,,,,,ERJ 190-200 LR,125.0,EMBRAER,"-9,3675 -40,5636"
10965,AMAZONAVES TAXI AEREO LTDA,Incidente,08/04/2022,CARAUARI,AM,Norte,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,"A aeronave decolou do Aeródromo de Carauari (SWCA), Carauari, AM, com destino ao Aeródromo Matheus Lopes Maia da Silva (SSSM), Itamarati, AM, a fim de realizar voo privado, com dois tripulantes e oito passageiros a bordo. Durante a decolagem a carenagem direita do motor desprendeu-se da aeronave. Após realização dos procedimentos previstos em manual, o voo retornou para o Aeródromo de origem.",PPSKT,M30,AMAZONAVES TAXI AEREO LTDA,SCF-NP,Decolagem,Táxi Aéreo,Leve,,,,,,,,,,2.0,8.0,,,,208B,11.0,CESSNA AIRCRAFT,"-4,8713 -66,8975"
10966,PIQUIATUBA TAXI AEREO LTDA EPP,Ocorrência Anormal,12/05/2022,SANTARÉM,PA,Norte,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,"A aeronave possuía intenções de decolar do Aeródromo Maestro Wilson Fonseca (SBSN), Santarém, PA, com destino ao Aeródromo Oriximiná (SNOX), Oriximiná, PA, às 15h37min (UTC), a fim de realizar voo de transporte de passageiros, com dois pilotos e um passageiro a bordo. Após a autorização para ingressar na pista de decolagem, houve travamento do freio esquerdo, impedindo a continuidade da operação.",PRVTR,TPX,PIQUIATUBA TAXI AEREO LTDA EPP,SCF-NP,Táxi,Táxi Aéreo,Nenhum,,,,,,,,,,2.0,1.0,,,,208B,11.0,CESSNA AIRCRAFT,"-2,42472 -54,7858"
10967,AZUL LINHAS AÉREAS BRASILEIRAS S.A.,Incidente,16/05/2022,CAMPINAS,SP,Sudeste,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,"A aeronave decolou do aeródromo São Gonçalo do Amarante - Governador Aluízio Alves (SBSG), Natal, RN, com destino ao aeródromo de Viracopos (SBKP), Campinas, SP, a fim de realizar transporte aéreo público regular, com seis tripulantes e cento e sessenta e quatro passageiros a bordo. Durante a aproximação para pouso, a aeronave apresentou uma mensagem no ECAM de falha do Sistema de Comando de Superfícies Secundárias de Voo. Após efetuado os procedimentos previstos no QRH, o pouso ocorreu normalmente e sem intercorrências.",PRYRR,TPR,AZUL LINHAS AÉREAS BRASILEIRAS S.A.,SCF-NP,Aproximação,Voo Regular,Nenhum,,,,,,,,,,6.0,164.0,,,,A320-253N,182.0,AIRBUS S.A.S.,"-23,0069 -47,1344"
10968,AZUL,Incidente,17/05/2022,BELÉM,PA,Norte,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,"A aeronave decolou do aeródromo Alberto Alcolumbre (SBMQ), Macapá, AP, com destino ao aeródromo Val de Cans (SBBE), Belém, PA, com 07 (sete) tripulantes e 146 (cento e quarenta e seis) passageiros, a fim de realizar transporte aéreo público regular. Durante a fase de aproximação, a aeronave apresentou a mensagem de baixo nível de óleo hidráulico no reservatório. Após a execução dos procedimentos previstos, a aeronave pousou no aeródromo de destino sem maiores intercorrências.",PRYJC,TPR,AZUL LINHAS AEREAS BRASILEIRAS S.A.,SCF-NP,Aproximação,Voo Regular,Nenhum,,,,,,,,,,7.0,146.0,,,,A321-251NX,223.0,AIRBUS S.A.S.,"-1,38472 -48,4789"
